modelo,fold,acuracia,f1_macro,precisao,recall,tempo_ms
KNN,44,0.9159356725146199,0.9041966896059727,0.9246052707540175,0.8868917922551544,180.55659999936324
KNN,45,0.9183375104427736,0.9064218741825787,0.9263581328944035,0.8894421013946809,139.96320000023843
KNN,46,0.9213659147869674,0.9098175218871868,0.9325675222503295,0.8908899579689374,135.27450000037788
KNN,47,0.9237677527151211,0.9126257291211095,0.9322894939841543,0.8958970974317738,135.8114000004207
KNN,48,0.9150913838120105,0.901928248710327,0.923014315887447,0.8841996674221738,141.45520000056422
KNN,49,0.9193733681462141,0.9072742119285703,0.9281137829242526,0.8897447354993422,135.43029999982537
KNN,50,0.9197911227154048,0.9070569141433399,0.9285733767720412,0.8890566505150841,172.88139999982377
Random Forest,1,0.9778613199665831,0.9728309596483585,0.9792485600688335,0.9670345276393556,6466.3737000000765
Random Forest,2,0.9768170426065163,0.9715959527817586,0.9753251480335342,0.9680843808223395,7851.6026000006605
Random Forest,3,0.9774436090225563,0.9724353612723053,0.9765008889926218,0.9686701853172043,8054.1878000003635
Random Forest,4,0.975250626566416,0.9697223907913523,0.9755091821566474,0.9645452589766034,7116.265399999975
Random Forest,5,0.9788011695906432,0.9739464923845172,0.9781835009737555,0.9699751862476478,7742.672500000481
Random Forest,6,0.977234753550543,0.9720483788417651,0.9760146780169188,0.9683302301465625,7091.2493999994695
Random Forest,7,0.9783834586466166,0.973701340890889,0.9767282535293832,0.970867701070294,7278.457000000344
Random Forest,8,0.9785900783289817,0.9737266932066694,0.9783221497204164,0.9694961834657508,7059.85150000015
Random Forest,9,0.974934725848564,0.9696006963641851,0.9729770004891325,0.9665061359708433,7656.513399999312
Random Forest,10,0.9795300261096606,0.9747860656218887,0.9813255008594108,0.96886912472117,6857.19969999991
Random Forest,11,0.9778613199665831,0.9729020666767537,0.9779832329311299,0.9682452066059563,7398.7630000001445
Random Forest,12,0.9765037593984962,0.9710933932192329,0.9762825746555374,0.9663474597873488,8500.74399999994
Random Forest,13,0.9778613199665831,0.9729121491184888,0.9768912072679704,0.9692162815277525,7397.377100000085
Random Forest,14,0.9794277360066834,0.9749395664778077,0.9790472134343982,0.9711537366306766,8534.766000000673
Random Forest,15,0.9763993316624896,0.9709969141862453,0.9772430903662016,0.9653565307233943,7043.153999999959
Random Forest,16,0.9765037593984962,0.9711914049778438,0.9759842743348152,0.9667797348898873,6946.6050000000905
Random Forest,17,0.9782790309106099,0.9735098862146608,0.9771539798748018,0.9701169944108924,7294.525400000566
Random Forest,18,0.9777545691906006,0.972661043006008,0.9778461495691881,0.9678880536223703,8126.564799999869
Random Forest,19,0.9781723237597911,0.9734453026121438,0.976002456734045,0.97102947957893,7009.827299999415
